index,start_time,end_time,text,character
397,"00:23:35,519","00:23:36,880",我们就此别过 ,1陆鸢
398,"00:23:40,440","00:23:41,960",可我若不杀他 ,沈不言
399,"00:23:43,440","00:23:45,519",该怎么拯救未来的你呢 ,沈不言
400,"00:23:46,039","00:23:48,160",可他当年也不能说走就走啊 ,陆鸢
401,"00:23:48,599","00:23:50,000",一点也不坦诚 ,陆鸢
402,"00:23:54,640","00:23:56,079",可说不定 ,陆鸢
403,"00:23:57,480","00:23:59,279",他有什么难言之隐呢 ,陆鸢
404,"00:24:00,559","00:24:02,599",★我既不想你现在伤心 ,沈不言
405,"00:24:04,279","00:24:05,920",又怕你将来难过 ,沈不言
406,"00:24:06,759","00:24:08,920",若次次重逢需隔数年 ,沈不言
407,"00:24:09,759","00:24:11,839",声声再见又皆是诀别 ,沈不言
408,"00:24:12,839","00:24:14,799",这对满心欢喜的你来说 ,沈不言
409,"00:24:15,480","00:24:17,359",是否太残忍了呢 ,沈不言
410,"00:24:19,559","00:24:20,920",我终于明白 ,沈不言
411,"00:24:22,680","00:24:25,839",上一次你为何要瞒着我了 ,沈不言
412,"00:24:27,920","00:24:29,880",难言之隐 ,陆鸢
413,"00:24:35,759","00:24:38,200",要是能带你回现代就好了 ,沈不言
414,"00:24:39,799","00:24:41,519",远离这些是非 ,沈不言
415,"00:24:49,519","00:24:50,359",对啊 ,1沈不言
416,"00:24:51,400","00:24:53,039",我只要阻止陆鸢进宫 ,1沈不言
417,"00:24:53,039","00:24:54,599",只要带她离开江都城 ,1沈不言
418,"00:24:55,640","00:24:57,599",那后面的一切都不会发生了 ,1沈不言
419,"00:24:59,920","00:25:01,359",只要她愿意 ,1沈不言
420,"00:25:02,799","00:25:03,960",跟我走 ,1沈不言
